assignment_id,offering_id,participation_percentage,enrollment_at_calculation,demand_category_id,demand_basis_code
assignment-5058401e-a6e5-4c29-ae25-d28af5c883e9,offering-b6ed7872-0c0e-4452-805e-8db8689816af,100.0,,,
assignment-325c7586-8b00-434f-a78f-b52b24badb0e,offering-03c85189-783b-4802-8ebe-7a47ab389d5e,100.0,,,
assignment-fa5b3f7b-17fa-4c37-93a5-dbadc1c73a88,offering-ae250801-6f87-4e47-8bbf-29bf53a3ab8c,100.0,,,
assignment-5001c841-e5e8-4547-bf7d-be83b00483d0,offering-3d8722d6-73ec-4526-8bc2-fdc25e178ad8,100.0,,,
assignment-a6c0ebde-b64d-4f57-b61e-ed7bfca38bf9,offering-d8e74d63-a628-4dfe-8a94-746e8ccefa31,100.0,,,
