assignment_id,employment_id,period_id,assignment_type_id,classification_id,status_id,policy_id,calculated_points,calculated_at,created_by_actor_id,created_at,updated_at,row_version
assignment-5058401e-a6e5-4c29-ae25-d28af5c883e9,employment-e1a17e9b-4720-52ca-85b7-ce13d4f3ba34,8f4f2a8e-6a21-4b47-9c54-202600000002,assignment-type-course-v1,assignment-classification-aac-v1,assignment-status-pending-authorization-v1,workload-policy-proposal-v3,6.00,2026-08-06T12:51:29-04:00,nicolas,2026-08-06T12:51:29-04:00,2026-08-06T12:51:29-04:00,1
assignment-325c7586-8b00-434f-a78f-b52b24badb0e,employment-e1a17e9b-4720-52ca-85b7-ce13d4f3ba34,8f4f2a8e-6a21-4b47-9c54-202600000002,assignment-type-course-v1,assignment-classification-dom-v1,assignment-status-pending-authorization-v1,workload-policy-proposal-v3,6.00,2026-08-06T12:51:43-04:00,nicolas,2026-08-06T12:51:43-04:00,2026-08-06T12:51:43-04:00,1
assignment-fa5b3f7b-17fa-4c37-93a5-dbadc1c73a88,employment-e1a17e9b-4720-52ca-85b7-ce13d4f3ba34,8f4f2a8e-6a21-4b47-9c54-202600000002,assignment-type-course-v1,assignment-classification-dom-v1,assignment-status-pending-authorization-v1,workload-policy-proposal-v3,6.00,2026-08-06T12:51:55-04:00,nicolas,2026-08-06T12:51:55-04:00,2026-08-06T12:51:55-04:00,1
assignment-5001c841-e5e8-4547-bf7d-be83b00483d0,employment-e1a17e9b-4720-52ca-85b7-ce13d4f3ba34,8f4f2a8e-6a21-4b47-9c54-202600000002,assignment-type-course-v1,assignment-classification-dom-v1,assignment-status-pending-authorization-v1,workload-policy-proposal-v3,6.00,2026-08-06T12:52:07-04:00,nicolas,2026-08-06T12:52:07-04:00,2026-08-06T12:52:07-04:00,1
assignment-a6c0ebde-b64d-4f57-b61e-ed7bfca38bf9,employment-e1a17e9b-4720-52ca-85b7-ce13d4f3ba34,8f4f2a8e-6a21-4b47-9c54-202600000002,assignment-type-course-v1,assignment-classification-aac-v1,assignment-status-pending-authorization-v1,workload-policy-proposal-v3,6.00,2026-08-06T12:52:26-04:00,nicolas,2026-08-06T12:52:26-04:00,2026-08-06T12:52:26-04:00,1
assignment-c2d2bedb-363d-4bf5-8ebd-ec411d4c16ba,employment-15fb7579-8ce4-5e4d-983a-262248c30056,8f4f2a8e-6a21-4b47-9c54-202600000002,assignment-type-course-v1,assignment-classification-dom-v1,assignment-status-pending-authorization-v1,workload-policy-proposal-v3,6.00,2026-08-06T14:23:21-04:00,nicolas,2026-08-06T14:23:21-04:00,2026-08-06T14:23:21-04:00,1
