offering_id,course_id,period_id,section_code,nrc,enrollment_count,status_code,created_at,updated_at
offering-b6ed7872-0c0e-4452-805e-8db8689816af,course-psi2303-v1,8f4f2a8e-6a21-4b47-9c54-202600000002,01,,,OPEN,2026-08-06T12:51:29-04:00,2026-08-06T12:51:29-04:00
offering-03c85189-783b-4802-8ebe-7a47ab389d5e,course-psi2410-v1,8f4f2a8e-6a21-4b47-9c54-202600000002,01,,,OPEN,2026-08-06T12:51:43-04:00,2026-08-06T12:51:43-04:00
offering-ae250801-6f87-4e47-8bbf-29bf53a3ab8c,course-psi3047-v1,8f4f2a8e-6a21-4b47-9c54-202600000002,02,,,OPEN,2026-08-06T12:51:55-04:00,2026-08-06T12:51:55-04:00
offering-3d8722d6-73ec-4526-8bc2-fdc25e178ad8,course-psi4020-v1,8f4f2a8e-6a21-4b47-9c54-202600000002,02,,,OPEN,2026-08-06T12:52:07-04:00,2026-08-06T12:52:07-04:00
offering-d8e74d63-a628-4dfe-8a94-746e8ccefa31,course-psi4037-v1,8f4f2a8e-6a21-4b47-9c54-202600000002,02,,,OPEN,2026-08-06T12:52:26-04:00,2026-08-06T12:52:26-04:00
offering-65ce158b-82ee-41d3-8122-8fb9a2cef2db,course-psi2303-v1,8f4f2a8e-6a21-4b47-9c54-202600000002,1,,,OPEN,2026-08-06T14:23:21-04:00,2026-08-06T14:23:21-04:00
