course_id,course_code,name,level_id,active
course-psi3815-v1,PSI3815,Tesis II,course-level-postgraduate-v1,true
course-psi4010-v1,PSI4010,Desarrollos en Psicología Evolutiva,course-level-postgraduate-v1,true
course-psi4013-v1,PSI4013,Examen General de Fundamentos de la Ciencia Psicológica,course-level-postgraduate-v1,true
course-psi4015-v1,PSI4015,Seminario de Profundización Metodológico II,course-level-postgraduate-v1,true
course-psi4017-v1,PSI4017,Proyecto de Tesis Doctoral II,course-level-postgraduate-v1,true
course-psi4019-v1,PSI4019,Tesis Doctoral II,course-level-postgraduate-v1,true
course-psi4020-v1,PSI4020,Examen de Candidatura,course-level-postgraduate-v1,true
course-psi4022-v1,PSI4022,Métodos Experimentales en Electrofisiología Humana,course-level-postgraduate-v1,true
course-psi4029-v1,PSI4029,Pasantía Doctoral en Psicología,course-level-postgraduate-v1,true
course-psi4030-v1,PSI4030,Tesis en Neurociencias I,course-level-postgraduate-v1,true
course-psi4032-v1,PSI4032,Tesis en Neurociencias III,course-level-postgraduate-v1,true
course-psi4034-v1,PSI4034,Tesis en Neurociencias V,course-level-postgraduate-v1,true
course-psi4036-v1,PSI4036,Metodología Cuantitativa Avanzada II,course-level-postgraduate-v1,true
course-psi4037-v1,PSI4037,Metodología Cualitativa Avanzada I,course-level-postgraduate-v1,true
course-psi4039-v1,PSI4039,Práctica en Investigación II,course-level-postgraduate-v1,true
course-psi4040-v1,PSI4040,Actividad Anual de Seguimiento I,course-level-postgraduate-v1,true
course-psi4041-v1,PSI4041,Actividad Anual de Seguimiento II,course-level-postgraduate-v1,true
course-psi4043-v1,PSI4043,Tesis Doctoral IV,course-level-postgraduate-v1,true
course-psi4044-v1,PSI4044,Autoría Artículo Científico en Psicología,course-level-postgraduate-v1,true
course-psi4048-v1,PSI4048,Modelos de Variables Latentes en Psicometría,course-level-postgraduate-v1,true
course-psi5002-v1,PSI5002,Análisis Cualitativo y Cuantitativo Aplicado a la Gestión de Recursos Humanos,course-level-postgraduate-v1,true
course-psi6009-v1,PSI6009,Coloquio Doctoral IV,course-level-postgraduate-v1,true
course-psi6011-v1,PSI6011,Coloquio Doctoral VI,course-level-postgraduate-v1,true
course-psi6016-v1,PSI6016,Tesis Doctoral III,course-level-postgraduate-v1,true
course-psi6018-v1,PSI6018,Tesis Doctoral V,course-level-postgraduate-v1,true
course-psi6023-v1,PSI6023,Actividad Anual de Seguimiento I,course-level-postgraduate-v1,true
course-psi6024-v1,PSI6024,Actividad Anual de Seguimiento II,course-level-postgraduate-v1,true
course-psi6025-v1,PSI6025,Autoría Artículo Científico o Patente,course-level-postgraduate-v1,true
course-psi6026-v1,PSI6026,Pasantía,course-level-postgraduate-v1,true
course-psm406-v1,PSM406,Tesis I,course-level-postgraduate-v1,true
course-psm407-v1,PSM407,Tesis II,course-level-postgraduate-v1,true
course-psm4320-v1,PSM4320,Estudio Dirigido I,course-level-postgraduate-v1,true
course-psm4322-v1,PSM4322,Estudio Dirigido III,course-level-postgraduate-v1,true
course-psm448-v1,PSM448,Alumnos con Necesidades Educativas Especiales,course-level-postgraduate-v1,true
course-pso106-v1,PSO106,Taller de Hábitos para el Trabajo Grupal,course-level-undergraduate-v1,true
course-pso3000-v1,PSO3000,Introducción a la Clínica de la Intervención en Crisis y Urgencia Subjetiva,course-level-postgraduate-v1,true
course-pso309-v1,PSO309,Consultoría Organizacional,course-level-undergraduate-v1,true
course-pso310-v1,PSO310,Clínica Con Adolescentes: Dos Miradas,course-level-undergraduate-v1,true
course-pso407-v1,PSO407,Trastornos de Personalidad,course-level-undergraduate-v1,true
course-pso409-v1,PSO409,Desarrollo Infantil y Políticas Públicas: Teoría y Evidencia,course-level-undergraduate-v1,true
